pickup_date,comp_dist_bins,post_treatment_time_dummy,Count
2010-02-16,2.0,1,25587
2010-02-16,4.0,0,15531
2010-02-16,4.0,1,14514
2010-02-16,8.0,0,4884
2010-02-16,8.0,1,4506
2010-02-16,16.0,0,2868
2010-02-16,16.0,1,2466
2010-02-16,32.0,0,687
2010-02-16,32.0,1,977
2010-02-17,0.0,0,269
2010-02-17,0.0,1,284
2010-02-17,0.25,0,646
2010-02-17,0.25,1,740
2010-02-17,0.5,0,4234
2010-02-17,0.5,1,4738
2010-02-17,1.0,0,17264
2010-02-17,1.0,1,17867
2010-02-17,2.0,0,26386
2010-02-17,2.0,1,26010
2010-02-17,4.0,0,15989
2010-02-17,4.0,1,14977
2010-02-17,8.0,0,5418
2010-02-17,8.0,1,4874
2010-02-17,16.0,0,3112
2010-02-17,16.0,1,3225
2010-02-17,32.0,0,699
2010-02-17,32.0,1,1235
2010-02-17,33.0,1,4
2010-02-18,0.0,0,258
2010-02-18,0.0,1,280
2010-02-18,0.25,0,627
2010-02-18,0.25,1,727
2010-02-18,0.5,0,4013
2010-02-18,0.5,1,4516
2010-02-18,1.0,0,16727
2010-02-18,1.0,1,17530
2010-02-18,2.0,0,25588
2010-02-18,2.0,1,25185
2010-02-18,4.0,0,16364
2010-02-18,4.0,1,14947
2010-02-18,8.0,0,5612
2010-02-18,8.0,1,5030
2010-02-18,16.0,0,2822
2010-02-18,16.0,1,3423
2010-02-18,32.0,0,702
2010-02-18,32.0,1,1230
2010-02-18,33.0,1,16
2010-02-19,0.0,0,243
2010-02-19,0.0,1,262
2010-02-19,0.25,0,639
2010-02-19,0.25,1,703
2010-02-19,0.5,0,3940
2010-02-19,0.5,1,4424
2010-02-19,1.0,0,16325
2010-02-19,1.0,1,17179
2010-02-19,2.0,0,25317
2010-02-19,2.0,1,25772
2010-02-19,4.0,0,16537
2010-02-19,4.0,1,15187
2010-02-19,8.0,0,5699
